Symbol,Close,RS,EMA5,EMA20,EMA50,EMA200,MarketCap,Sector
360ONE,1114.4000244140625,0.10382658252655874,1114.188493962269,1105.8954868544204,1095.7072027772408,1088.7770823271696,,
AUBANK,1059.4000244140625,0.07607437475502277,1058.1937738475908,1041.8881925244405,1018.6245088876385,959.2326798204556,,
ADANIENSOL,1656.699951171875,0.4268493755125047,1638.0260134312084,1569.8343011563495,1475.6051448902565,1211.5850941156787,,
ADANIENT,3167.0,0.5141423035414383,3135.7521321832755,3069.4979804923205,2882.2499881848016,2518.3935516484444,,
ADANIGREEN,1570.800048828125,0.4432994244050621,1536.9862803624048,1515.2509643051922,1431.8140858849,1193.6697853476333,,
ADANIPORTS,1822.9000244140625,0.23741195154525285,1822.5461751631428,1819.736934789127,1769.7136267357705,1600.866692550557,,
ABCAPITAL,406.20001220703125,0.18480307377622607,402.4114115544242,390.2452861515847,373.1597339503992,344.099508047742,,
ALKEM,5606.5,0.02777549793096723,5622.807402725882,5526.361221269687,5468.191946249548,5445.776983803466,,
APOLLOHOSP,8849.0,0.1748241263257746,8827.529363309777,8672.917632566352,8396.01039675241,7842.67244467475,,
AUROPHARMA,1561.9000244140625,0.154297755437518,1569.9797092026668,1543.7317157874809,1489.7565044646356,1338.079481396486,,
BAJAJ-AUTO,10087.0,0.039471924387568524,10094.73713093415,10024.253218729957,9990.111937755488,9537.468614568925,,
BAJFINANCE,1016.5999755859375,0.10328206730886347,1016.7756528206788,990.7075146014856,956.7567678121778,945.4661397396923,,
BANKINDIA,144.99000549316406,0.009362140235364302,142.51416041076556,142.47645076705572,142.3644561957382,140.29124952175496,,
BHARATFORG,2127.199951171875,0.18289557922304733,2122.713505764511,2092.441302198107,2007.1778289993106,1740.6728275833816,,
BOSCHLTD,41585.0,0.11092323215468336,41737.87926137951,40706.59399255812,38998.93688333159,37028.1508540915,,
CHOLAFIN,1810.199951171875,0.14168183122474476,1805.5508167515138,1755.288097868299,1675.3803160000646,1627.2157570279373,,
CIPLA,1431.0,0.1715795474978683,1439.6580218892395,1430.388375610563,1395.488130528667,1388.3110770420265,,
DIVISLAB,6804.5,0.10942659239239583,6796.610132563204,6734.205796978701,6657.361303984393,6466.693531904858,,
EXIDEIND,420.1499938964844,0.2973920411123192,419.94188896281184,403.8767556403627,384.0479063155048,363.3898007757942,,
NYKAA,329.3500061035156,0.2657338631474575,324.20359634274683,307.61385850376683,289.72599973631327,265.1632533472359,,
FEDERALBNK,331.29998779296875,0.132635855224837,329.69129206694885,324.29987551957277,311.5819545736398,279.8495710452967,,
GAIL,172.05999755859375,0.11362499656672642,172.30452548991448,172.2974159025083,168.87853183409985,165.70567463581267,,
GMRAIRPORT,113.52999877929688,0.18864175431673358,112.74154346917528,110.09461613310731,105.25857722847898,98.95898583427116,,
GLENMARK,2274.89990234375,0.0487475535595181,2262.3830313126828,2225.2776626165564,2224.4059672679814,2128.711219293401,,
GRASIM,3197.199951171875,0.16255268538319467,3190.159242880613,3154.1394475551947,3074.97656345327,2905.41710054224,,
HDFCAMC,2717.800048828125,0.05738743241080768,2732.9343690903456,2694.947037284206,2646.739512949616,2604.822451990158,,
HAL,4458.89990234375,0.0813313811623888,4439.916906016234,4401.461470750506,4357.931249533425,4347.395229013902,,
IDFCFIRSTB,80.38999938964844,0.21083168387620255,80.06190164111408,78.62120169596332,75.53378988899917,74.17357983978293,,
INDHOTEL,742.4500122070312,0.15932648845171826,739.2686519586347,719.7721589707206,692.7769719647407,685.2520392563096,,
INDUSINDBK,1011.2999877929688,0.21573639655484667,1006.2110935884984,965.1709480794977,932.2987095705566,883.2990455843137,,
INDIGO,5214.0,0.14173218122934328,5265.283856796235,5172.366971450224,4909.056626099501,4908.13337469415,,
LTF,330.0,0.19413048140681632,324.3582292339199,309.6682785953073,294.9320630296126,277.8869890833911,,
LICI,439.8500061035156,0.12462960342723672,437.6040424325024,426.9499876097037,414.03697574175004,411.5625269537967,,
LUPIN,2493.699951171875,0.06557957002086146,2485.4793729527937,2415.795588904716,2355.449767168806,2235.6980393477916,,
MANKIND,2497.89990234375,0.19819050806846317,2512.770495941132,2484.736975578945,2418.1674573037067,2318.160635140484,,
MARICO,847.5499877929688,0.10739827361505383,848.8671932193869,837.2678594177742,821.7870221059287,780.3983017586384,,
MAXHEALTH,1108.4000244140625,0.1615038174085015,1109.0002471867408,1095.9605516470963,1060.9866837227348,1059.3871549030007,,
MOTILALOFS,969.3499755859375,0.24165069115448268,958.7242074360065,939.614872925112,897.5625723106741,851.4603961138721,,
NESTLEIND,1437.800048828125,0.15324009252400295,1447.3888386867427,1428.1374646943557,1403.762167533843,1322.173185136741,,
